Timestep , Time value
0 ,  1.99446e-002
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , water_temperature
0.00000e+000 , 2.00000e-001 , 2.77556e-016 , 2.00000e-001 , 5.00000e+002
0.00000e+000 , 2.10000e-001 , 2.77556e-016 , 2.10000e-001 , 5.00000e+002
0.00000e+000 , 2.20000e-001 , 2.77556e-016 , 2.20000e-001 , 5.00000e+002
0.00000e+000 , 2.30000e-001 , 2.77556e-016 , 2.30000e-001 , 5.00000e+002
0.00000e+000 , 2.40000e-001 , 2.77556e-016 , 2.40000e-001 , 5.00000e+002
0.00000e+000 , 2.50000e-001 , 2.77556e-016 , 2.50000e-001 , 5.00000e+002
0.00000e+000 , 2.60000e-001 , 2.77556e-016 , 2.60000e-001 , 5.00000e+002
0.00000e+000 , 2.70000e-001 , 2.77556e-016 , 2.70000e-001 , 5.00000e+002
0.00000e+000 , 2.80000e-001 , 2.77556e-016 , 2.80000e-001 , 5.00000e+002
0.00000e+000 , 2.90000e-001 , 2.77556e-016 , 2.90000e-001 , 5.00000e+002
0.00000e+000 , 3.00000e-001 , 2.77556e-016 , 3.00000e-001 , 5.00000e+002
0.00000e+000 , 3.10000e-001 , 2.73045e-016 , 3.10000e-001 , 5.00000e+002
0.00000e+000 , 3.20000e-001 , 2.68535e-016 , 3.20000e-001 , 5.00000e+002
0.00000e+000 , 3.30000e-001 , 2.64025e-016 , 3.30000e-001 , 5.00000e+002
0.00000e+000 , 3.40000e-001 , 2.59515e-016 , 3.40000e-001 , 5.00000e+002
0.00000e+000 , 3.50000e-001 , 2.55004e-016 , 3.50000e-001 , 5.00000e+002
0.00000e+000 , 3.60000e-001 , 2.50494e-016 , 3.60000e-001 , 5.00000e+002
0.00000e+000 , 3.70000e-001 , 2.45984e-016 , 3.70000e-001 , 5.00000e+002
0.00000e+000 , 3.80000e-001 , 2.41474e-016 , 3.80000e-001 , 5.00000e+002
0.00000e+000 , 3.90000e-001 , 2.36963e-016 , 3.90000e-001 , 5.00000e+002
0.00000e+000 , 4.00000e-001 , 2.32453e-016 , 4.00000e-001 , 5.00000e+002
0.00000e+000 , 4.10000e-001 , 2.27943e-016 , 4.10000e-001 , 5.00000e+002
0.00000e+000 , 4.20000e-001 , 2.23432e-016 , 4.20000e-001 , 5.00000e+002
0.00000e+000 , 4.30000e-001 , 2.18922e-016 , 4.30000e-001 , 5.00000e+002
0.00000e+000 , 4.40000e-001 , 2.14412e-016 , 4.40000e-001 , 5.00000e+002
0.00000e+000 , 4.50000e-001 , 2.09902e-016 , 4.50000e-001 , 5.00000e+002
0.00000e+000 , 4.60000e-001 , 2.05391e-016 , 4.60000e-001 , 5.00000e+002
0.00000e+000 , 4.70000e-001 , 2.00881e-016 , 4.70000e-001 , 5.00000e+002
0.00000e+000 , 4.80000e-001 , 1.96371e-016 , 4.80000e-001 , 5.00000e+002
0.00000e+000 , 4.90000e-001 , 1.91860e-016 , 4.90000e-001 , 5.00000e+002
0.00000e+000 , 5.00000e-001 , 1.87350e-016 , 5.00000e-001 , 5.00000e+002
0.00000e+000 , 5.10000e-001 , 1.82840e-016 , 5.10000e-001 , 5.00000e+002
0.00000e+000 , 5.20000e-001 , 1.78330e-016 , 5.20000e-001 , 5.00000e+002
0.00000e+000 , 5.30000e-001 , 1.73819e-016 , 5.30000e-001 , 5.00000e+002
0.00000e+000 , 5.40000e-001 , 1.69309e-016 , 5.40000e-001 , 5.00000e+002
0.00000e+000 , 5.50000e-001 , 1.64799e-016 , 5.50000e-001 , 5.00000e+002
0.00000e+000 , 5.60000e-001 , 1.60288e-016 , 5.60000e-001 , 5.00000e+002
0.00000e+000 , 5.70000e-001 , 1.55778e-016 , 5.70000e-001 , 5.00000e+002
0.00000e+000 , 5.80000e-001 , 1.51268e-016 , 5.80000e-001 , 5.00000e+002
0.00000e+000 , 5.90000e-001 , 1.46758e-016 , 5.90000e-001 , 5.00000e+002
0.00000e+000 , 6.00000e-001 , 1.42247e-016 , 6.00000e-001 , 5.00000e+002
0.00000e+000 , 6.10000e-001 , 1.37737e-016 , 6.10000e-001 , 5.00000e+002
0.00000e+000 , 6.20000e-001 , 1.33227e-016 , 6.20000e-001 , 5.00000e+002
0.00000e+000 , 6.30000e-001 , 1.28716e-016 , 6.30000e-001 , 5.00000e+002
0.00000e+000 , 6.40000e-001 , 1.24206e-016 , 6.40000e-001 , 5.00000e+002
0.00000e+000 , 6.50000e-001 , 1.19696e-016 , 6.50000e-001 , 5.00000e+002
0.00000e+000 , 6.60000e-001 , 1.15186e-016 , 6.60000e-001 , 5.00000e+002
0.00000e+000 , 6.70000e-001 , 1.10675e-016 , 6.70000e-001 , 5.00000e+002
0.00000e+000 , 6.80000e-001 , 1.06165e-016 , 6.80000e-001 , 5.00000e+002
0.00000e+000 , 6.90000e-001 , 1.01655e-016 , 6.90000e-001 , 4.99999e+002
0.00000e+000 , 7.00000e-001 , 9.71445e-017 , 7.00000e-001 , 4.99999e+002
0.00000e+000 , 7.10000e-001 , 9.26342e-017 , 7.10000e-001 , 4.99999e+002
0.00000e+000 , 7.20000e-001 , 8.81240e-017 , 7.20000e-001 , 4.99998e+002
0.00000e+000 , 7.30000e-001 , 8.36137e-017 , 7.30000e-001 , 4.99998e+002
0.00000e+000 , 7.40000e-001 , 7.91034e-017 , 7.40000e-001 , 4.99997e+002
0.00000e+000 , 7.50000e-001 , 7.45931e-017 , 7.50000e-001 , 4.99996e+002
0.00000e+000 , 7.60000e-001 , 7.00828e-017 , 7.60000e-001 , 4.99994e+002
0.00000e+000 , 7.70000e-001 , 6.55725e-017 , 7.70000e-001 , 4.99992e+002
0.00000e+000 , 7.80000e-001 , 6.10623e-017 , 7.80000e-001 , 4.99990e+002
0.00000e+000 , 7.90000e-001 , 5.65520e-017 , 7.90000e-001 , 4.99986e+002
0.00000e+000 , 8.00000e-001 , 5.20417e-017 , 8.00000e-001 , 4.99980e+002
0.00000e+000 , 8.10000e-001 , 5.20417e-017 , 8.10000e-001 , 4.99972e+002
0.00000e+000 , 8.20000e-001 , 5.20417e-017 , 8.20000e-001 , 4.99961e+002
0.00000e+000 , 8.30000e-001 , 5.20417e-017 , 8.30000e-001 , 4.99946e+002
0.00000e+000 , 8.40000e-001 , 5.20417e-017 , 8.40000e-001 , 4.99924e+002
0.00000e+000 , 8.50000e-001 , 5.20417e-017 , 8.50000e-001 , 4.99895e+002
0.00000e+000 , 8.60000e-001 , 5.20417e-017 , 8.60000e-001 , 4.99854e+002
0.00000e+000 , 8.70000e-001 , 5.20417e-017 , 8.70000e-001 , 4.99799e+002
0.00000e+000 , 8.80000e-001 , 5.20417e-017 , 8.80000e-001 , 4.99726e+002
0.00000e+000 , 8.90000e-001 , 5.20417e-017 , 8.90000e-001 , 4.99630e+002
0.00000e+000 , 9.00000e-001 , 5.20417e-017 , 9.00000e-001 , 4.99503e+002
0.00000e+000 , 9.10000e-001 , 5.20417e-017 , 9.10000e-001 , 4.99340e+002
0.00000e+000 , 9.20000e-001 , 5.20417e-017 , 9.20000e-001 , 4.99121e+002
0.00000e+000 , 9.30000e-001 , 5.20417e-017 , 9.30000e-001 , 4.98869e+002
0.00000e+000 , 9.40000e-001 , 5.20417e-017 , 9.40000e-001 , 4.98402e+002
0.00000e+000 , 9.50000e-001 , 5.20417e-017 , 9.50000e-001 , 4.98060e+002
Timestep , Time value
428 ,  8.55625e+000
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , water_temperature
0.00000e+000 , 1.50000e-001 , 2.77556e-016 , 1.50000e-001 , 5.00000e+002
0.00000e+000 , 1.60000e-001 , 2.77556e-016 , 1.60000e-001 , 5.00000e+002
0.00000e+000 , 1.70000e-001 , 2.77556e-016 , 1.70000e-001 , 5.00000e+002
0.00000e+000 , 1.80000e-001 , 2.77556e-016 , 1.80000e-001 , 5.00000e+002
0.00000e+000 , 1.90000e-001 , 2.77556e-016 , 1.90000e-001 , 5.00000e+002
0.00000e+000 , 2.00000e-001 , 2.77556e-016 , 2.00000e-001 , 5.00000e+002
0.00000e+000 , 2.10000e-001 , 2.77556e-016 , 2.10000e-001 , 5.00000e+002
0.00000e+000 , 2.20000e-001 , 2.77556e-016 , 2.20000e-001 , 5.00000e+002
0.00000e+000 , 2.30000e-001 , 2.77556e-016 , 2.30000e-001 , 5.00000e+002
0.00000e+000 , 2.40000e-001 , 2.77556e-016 , 2.40000e-001 , 5.00000e+002
0.00000e+000 , 2.50000e-001 , 2.77556e-016 , 2.50000e-001 , 5.00000e+002
0.00000e+000 , 2.60000e-001 , 2.77556e-016 , 2.60000e-001 , 5.00000e+002
0.00000e+000 , 2.70000e-001 , 2.77556e-016 , 2.70000e-001 , 5.00000e+002
0.00000e+000 , 2.80000e-001 , 2.77556e-016 , 2.80000e-001 , 5.00000e+002
0.00000e+000 , 2.90000e-001 , 2.77556e-016 , 2.90000e-001 , 5.00000e+002
0.00000e+000 , 3.00000e-001 , 2.77556e-016 , 3.00000e-001 , 5.00000e+002
0.00000e+000 , 3.10000e-001 , 2.73045e-016 , 3.10000e-001 , 5.00000e+002
0.00000e+000 , 3.20000e-001 , 2.68535e-016 , 3.20000e-001 , 5.00000e+002
0.00000e+000 , 3.30000e-001 , 2.64025e-016 , 3.30000e-001 , 5.00000e+002
0.00000e+000 , 3.40000e-001 , 2.59515e-016 , 3.40000e-001 , 5.00000e+002
0.00000e+000 , 3.50000e-001 , 2.55004e-016 , 3.50000e-001 , 5.00000e+002
0.00000e+000 , 3.60000e-001 , 2.50494e-016 , 3.60000e-001 , 5.00000e+002
0.00000e+000 , 3.70000e-001 , 2.45984e-016 , 3.70000e-001 , 5.00000e+002
0.00000e+000 , 3.80000e-001 , 2.41474e-016 , 3.80000e-001 , 5.00000e+002
0.00000e+000 , 3.90000e-001 , 2.36963e-016 , 3.90000e-001 , 5.00000e+002
0.00000e+000 , 4.00000e-001 , 2.32453e-016 , 4.00000e-001 , 5.00000e+002
0.00000e+000 , 4.10000e-001 , 2.27943e-016 , 4.10000e-001 , 5.00000e+002
0.00000e+000 , 4.20000e-001 , 2.23432e-016 , 4.20000e-001 , 5.00000e+002
0.00000e+000 , 4.30000e-001 , 2.18922e-016 , 4.30000e-001 , 5.00000e+002
0.00000e+000 , 4.40000e-001 , 2.14412e-016 , 4.40000e-001 , 5.00000e+002
0.00000e+000 , 4.50000e-001 , 2.09902e-016 , 4.50000e-001 , 5.00000e+002
0.00000e+000 , 4.60000e-001 , 2.05391e-016 , 4.60000e-001 , 5.00000e+002
0.00000e+000 , 4.70000e-001 , 2.00881e-016 , 4.70000e-001 , 5.00000e+002
0.00000e+000 , 4.80000e-001 , 1.96371e-016 , 4.80000e-001 , 5.00000e+002
0.00000e+000 , 4.90000e-001 , 1.91860e-016 , 4.90000e-001 , 5.00000e+002
0.00000e+000 , 5.00000e-001 , 1.87350e-016 , 5.00000e-001 , 5.00000e+002
0.00000e+000 , 5.10000e-001 , 1.82840e-016 , 5.10000e-001 , 5.00000e+002
0.00000e+000 , 5.20000e-001 , 1.78330e-016 , 5.20000e-001 , 5.00000e+002
0.00000e+000 , 5.30000e-001 , 1.73819e-016 , 5.30000e-001 , 5.00000e+002
0.00000e+000 , 5.40000e-001 , 1.69309e-016 , 5.40000e-001 , 5.00000e+002
0.00000e+000 , 5.50000e-001 , 1.64799e-016 , 5.50000e-001 , 5.00000e+002
0.00000e+000 , 5.60000e-001 , 1.60288e-016 , 5.60000e-001 , 5.00000e+002
0.00000e+000 , 5.70000e-001 , 1.55778e-016 , 5.70000e-001 , 5.00000e+002
0.00000e+000 , 5.80000e-001 , 1.51268e-016 , 5.80000e-001 , 5.00000e+002
0.00000e+000 , 5.90000e-001 , 1.46758e-016 , 5.90000e-001 , 5.00000e+002
0.00000e+000 , 6.00000e-001 , 1.42247e-016 , 6.00000e-001 , 5.00000e+002
0.00000e+000 , 6.10000e-001 , 1.37737e-016 , 6.10000e-001 , 5.00000e+002
0.00000e+000 , 6.20000e-001 , 1.33227e-016 , 6.20000e-001 , 5.00000e+002
0.00000e+000 , 6.30000e-001 , 1.28716e-016 , 6.30000e-001 , 5.00000e+002
0.00000e+000 , 6.40000e-001 , 1.24206e-016 , 6.40000e-001 , 5.00000e+002
0.00000e+000 , 6.50000e-001 , 1.19696e-016 , 6.50000e-001 , 5.00000e+002
0.00000e+000 , 6.60000e-001 , 1.15186e-016 , 6.60000e-001 , 5.00000e+002
0.00000e+000 , 6.70000e-001 , 1.10675e-016 , 6.70000e-001 , 5.00000e+002
0.00000e+000 , 6.80000e-001 , 1.06165e-016 , 6.80000e-001 , 5.00000e+002
0.00000e+000 , 6.90000e-001 , 1.01655e-016 , 6.90000e-001 , 4.99999e+002
0.00000e+000 , 7.00000e-001 , 9.71445e-017 , 7.00000e-001 , 4.99999e+002
0.00000e+000 , 7.10000e-001 , 9.26342e-017 , 7.10000e-001 , 4.99999e+002
0.00000e+000 , 7.20000e-001 , 8.81240e-017 , 7.20000e-001 , 4.99998e+002
0.00000e+000 , 7.30000e-001 , 8.36137e-017 , 7.30000e-001 , 4.99998e+002
0.00000e+000 , 7.40000e-001 , 7.91034e-017 , 7.40000e-001 , 4.99997e+002
0.00000e+000 , 7.50000e-001 , 7.45931e-017 , 7.50000e-001 , 4.99996e+002
0.00000e+000 , 7.60000e-001 , 7.00828e-017 , 7.60000e-001 , 4.99995e+002
0.00000e+000 , 7.70000e-001 , 6.55725e-017 , 7.70000e-001 , 4.99993e+002
0.00000e+000 , 7.80000e-001 , 6.10623e-017 , 7.80000e-001 , 4.99990e+002
0.00000e+000 , 7.90000e-001 , 5.65520e-017 , 7.90000e-001 , 4.99986e+002
0.00000e+000 , 8.00000e-001 , 5.20417e-017 , 8.00000e-001 , 4.99981e+002
0.00000e+000 , 8.10000e-001 , 5.20417e-017 , 8.10000e-001 , 4.99974e+002
0.00000e+000 , 8.20000e-001 , 5.20417e-017 , 8.20000e-001 , 4.99964e+002
0.00000e+000 , 8.30000e-001 , 5.20417e-017 , 8.30000e-001 , 4.99949e+002
0.00000e+000 , 8.40000e-001 , 5.20417e-017 , 8.40000e-001 , 4.99929e+002
0.00000e+000 , 8.50000e-001 , 5.20417e-017 , 8.50000e-001 , 4.99901e+002
0.00000e+000 , 8.60000e-001 , 5.20417e-017 , 8.60000e-001 , 4.99863e+002
0.00000e+000 , 8.70000e-001 , 5.20417e-017 , 8.70000e-001 , 4.99811e+002
0.00000e+000 , 8.80000e-001 , 5.20417e-017 , 8.80000e-001 , 4.99742e+002
0.00000e+000 , 8.90000e-001 , 5.20417e-017 , 8.90000e-001 , 4.99651e+002
0.00000e+000 , 9.00000e-001 , 5.20417e-017 , 9.00000e-001 , 4.99531e+002
0.00000e+000 , 9.10000e-001 , 5.20417e-017 , 9.10000e-001 , 4.99376e+002
0.00000e+000 , 9.20000e-001 , 5.20417e-017 , 9.20000e-001 , 4.99169e+002
0.00000e+000 , 9.30000e-001 , 5.20417e-017 , 9.30000e-001 , 4.98929e+002
0.00000e+000 , 9.40000e-001 , 5.20417e-017 , 9.40000e-001 , 4.98486e+002
0.00000e+000 , 9.50000e-001 , 5.20417e-017 , 9.50000e-001 , 4.98162e+002
Timestep , Time value
429 ,  8.57620e+000
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , water_temperature
0.00000e+000 , 1.50000e-001 , 2.77556e-016 , 1.50000e-001 , 5.00000e+002
0.00000e+000 , 1.60000e-001 , 2.77556e-016 , 1.60000e-001 , 5.00000e+002
0.00000e+000 , 1.70000e-001 , 2.77556e-016 , 1.70000e-001 , 5.00000e+002
0.00000e+000 , 1.80000e-001 , 2.77556e-016 , 1.80000e-001 , 5.00000e+002
0.00000e+000 , 1.90000e-001 , 2.77556e-016 , 1.90000e-001 , 5.00000e+002
0.00000e+000 , 2.00000e-001 , 2.77556e-016 , 2.00000e-001 , 5.00000e+002
0.00000e+000 , 2.10000e-001 , 2.77556e-016 , 2.10000e-001 , 5.00000e+002
0.00000e+000 , 2.20000e-001 , 2.77556e-016 , 2.20000e-001 , 5.00000e+002
0.00000e+000 , 2.30000e-001 , 2.77556e-016 , 2.30000e-001 , 5.00000e+002
0.00000e+000 , 2.40000e-001 , 2.77556e-016 , 2.40000e-001 , 5.00000e+002
0.00000e+000 , 2.50000e-001 , 2.77556e-016 , 2.50000e-001 , 5.00000e+002
0.00000e+000 , 2.60000e-001 , 2.77556e-016 , 2.60000e-001 , 5.00000e+002
0.00000e+000 , 2.70000e-001 , 2.77556e-016 , 2.70000e-001 , 5.00000e+002
0.00000e+000 , 2.80000e-001 , 2.77556e-016 , 2.80000e-001 , 5.00000e+002
0.00000e+000 , 2.90000e-001 , 2.77556e-016 , 2.90000e-001 , 5.00000e+002
0.00000e+000 , 3.00000e-001 , 2.77556e-016 , 3.00000e-001 , 5.00000e+002
0.00000e+000 , 3.10000e-001 , 2.73045e-016 , 3.10000e-001 , 5.00000e+002
0.00000e+000 , 3.20000e-001 , 2.68535e-016 , 3.20000e-001 , 5.00000e+002
0.00000e+000 , 3.30000e-001 , 2.64025e-016 , 3.30000e-001 , 5.00000e+002
0.00000e+000 , 3.40000e-001 , 2.59515e-016 , 3.40000e-001 , 5.00000e+002
0.00000e+000 , 3.50000e-001 , 2.55004e-016 , 3.50000e-001 , 5.00000e+002
0.00000e+000 , 3.60000e-001 , 2.50494e-016 , 3.60000e-001 , 5.00000e+002
0.00000e+000 , 3.70000e-001 , 2.45984e-016 , 3.70000e-001 , 5.00000e+002
0.00000e+000 , 3.80000e-001 , 2.41474e-016 , 3.80000e-001 , 5.00000e+002
0.00000e+000 , 3.90000e-001 , 2.36963e-016 , 3.90000e-001 , 5.00000e+002
0.00000e+000 , 4.00000e-001 , 2.32453e-016 , 4.00000e-001 , 5.00000e+002
0.00000e+000 , 4.10000e-001 , 2.27943e-016 , 4.10000e-001 , 5.00000e+002
0.00000e+000 , 4.20000e-001 , 2.23432e-016 , 4.20000e-001 , 5.00000e+002
0.00000e+000 , 4.30000e-001 , 2.18922e-016 , 4.30000e-001 , 5.00000e+002
0.00000e+000 , 4.40000e-001 , 2.14412e-016 , 4.40000e-001 , 5.00000e+002
0.00000e+000 , 4.50000e-001 , 2.09902e-016 , 4.50000e-001 , 5.00000e+002
0.00000e+000 , 4.60000e-001 , 2.05391e-016 , 4.60000e-001 , 5.00000e+002
0.00000e+000 , 4.70000e-001 , 2.00881e-016 , 4.70000e-001 , 5.00000e+002
0.00000e+000 , 4.80000e-001 , 1.96371e-016 , 4.80000e-001 , 5.00000e+002
0.00000e+000 , 4.90000e-001 , 1.91860e-016 , 4.90000e-001 , 5.00000e+002
0.00000e+000 , 5.00000e-001 , 1.87350e-016 , 5.00000e-001 , 5.00000e+002
0.00000e+000 , 5.10000e-001 , 1.82840e-016 , 5.10000e-001 , 5.00000e+002
0.00000e+000 , 5.20000e-001 , 1.78330e-016 , 5.20000e-001 , 5.00000e+002
0.00000e+000 , 5.30000e-001 , 1.73819e-016 , 5.30000e-001 , 5.00000e+002
0.00000e+000 , 5.40000e-001 , 1.69309e-016 , 5.40000e-001 , 5.00000e+002
0.00000e+000 , 5.50000e-001 , 1.64799e-016 , 5.50000e-001 , 5.00000e+002
0.00000e+000 , 5.60000e-001 , 1.60288e-016 , 5.60000e-001 , 5.00000e+002
0.00000e+000 , 5.70000e-001 , 1.55778e-016 , 5.70000e-001 , 5.00000e+002
0.00000e+000 , 5.80000e-001 , 1.51268e-016 , 5.80000e-001 , 5.00000e+002
0.00000e+000 , 5.90000e-001 , 1.46758e-016 , 5.90000e-001 , 5.00000e+002
0.00000e+000 , 6.00000e-001 , 1.42247e-016 , 6.00000e-001 , 5.00000e+002
0.00000e+000 , 6.10000e-001 , 1.37737e-016 , 6.10000e-001 , 5.00000e+002
0.00000e+000 , 6.20000e-001 , 1.33227e-016 , 6.20000e-001 , 5.00000e+002
0.00000e+000 , 6.30000e-001 , 1.28716e-016 , 6.30000e-001 , 5.00000e+002
0.00000e+000 , 6.40000e-001 , 1.24206e-016 , 6.40000e-001 , 5.00000e+002
0.00000e+000 , 6.50000e-001 , 1.19696e-016 , 6.50000e-001 , 5.00000e+002
0.00000e+000 , 6.60000e-001 , 1.15186e-016 , 6.60000e-001 , 5.00000e+002
0.00000e+000 , 6.70000e-001 , 1.10675e-016 , 6.70000e-001 , 5.00000e+002
0.00000e+000 , 6.80000e-001 , 1.06165e-016 , 6.80000e-001 , 5.00000e+002
0.00000e+000 , 6.90000e-001 , 1.01655e-016 , 6.90000e-001 , 4.99999e+002
0.00000e+000 , 7.00000e-001 , 9.71445e-017 , 7.00000e-001 , 4.99999e+002
0.00000e+000 , 7.10000e-001 , 9.26342e-017 , 7.10000e-001 , 4.99999e+002
0.00000e+000 , 7.20000e-001 , 8.81240e-017 , 7.20000e-001 , 4.99999e+002
0.00000e+000 , 7.30000e-001 , 8.36137e-017 , 7.30000e-001 , 4.99998e+002
0.00000e+000 , 7.40000e-001 , 7.91034e-017 , 7.40000e-001 , 4.99997e+002
0.00000e+000 , 7.50000e-001 , 7.45931e-017 , 7.50000e-001 , 4.99996e+002
0.00000e+000 , 7.60000e-001 , 7.00828e-017 , 7.60000e-001 , 4.99995e+002
0.00000e+000 , 7.70000e-001 , 6.55725e-017 , 7.70000e-001 , 4.99993e+002
0.00000e+000 , 7.80000e-001 , 6.10623e-017 , 7.80000e-001 , 4.99991e+002
0.00000e+000 , 7.90000e-001 , 5.65520e-017 , 7.90000e-001 , 4.99987e+002
0.00000e+000 , 8.00000e-001 , 5.20417e-017 , 8.00000e-001 , 4.99982e+002
0.00000e+000 , 8.10000e-001 , 5.20417e-017 , 8.10000e-001 , 4.99976e+002
0.00000e+000 , 8.20000e-001 , 5.20417e-017 , 8.20000e-001 , 4.99966e+002
0.00000e+000 , 8.30000e-001 , 5.20417e-017 , 8.30000e-001 , 4.99953e+002
0.00000e+000 , 8.40000e-001 , 5.20417e-017 , 8.40000e-001 , 4.99934e+002
0.00000e+000 , 8.50000e-001 , 5.20417e-017 , 8.50000e-001 , 4.99907e+002
0.00000e+000 , 8.60000e-001 , 5.20417e-017 , 8.60000e-001 , 4.99871e+002
0.00000e+000 , 8.70000e-001 , 5.20417e-017 , 8.70000e-001 , 4.99823e+002
0.00000e+000 , 8.80000e-001 , 5.20417e-017 , 8.80000e-001 , 4.99757e+002
0.00000e+000 , 8.90000e-001 , 5.20417e-017 , 8.90000e-001 , 4.99671e+002
0.00000e+000 , 9.00000e-001 , 5.20417e-017 , 9.00000e-001 , 4.99557e+002
0.00000e+000 , 9.10000e-001 , 5.20417e-017 , 9.10000e-001 , 4.99411e+002
0.00000e+000 , 9.20000e-001 , 5.20417e-017 , 9.20000e-001 , 4.99213e+002
0.00000e+000 , 9.30000e-001 , 5.20417e-017 , 9.30000e-001 , 4.98985e+002
0.00000e+000 , 9.40000e-001 , 5.20417e-017 , 9.40000e-001 , 4.98566e+002
0.00000e+000 , 9.50000e-001 , 5.20417e-017 , 9.50000e-001 , 4.98259e+002
Timestep , Time value
430 ,  8.59614e+000
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , water_temperature
0.00000e+000 , 1.50000e-001 , 2.77556e-016 , 1.50000e-001 , 5.00000e+002
0.00000e+000 , 1.60000e-001 , 2.77556e-016 , 1.60000e-001 , 5.00000e+002
0.00000e+000 , 1.70000e-001 , 2.77556e-016 , 1.70000e-001 , 5.00000e+002
0.00000e+000 , 1.80000e-001 , 2.77556e-016 , 1.80000e-001 , 5.00000e+002
0.00000e+000 , 1.90000e-001 , 2.77556e-016 , 1.90000e-001 , 5.00000e+002
0.00000e+000 , 2.00000e-001 , 2.77556e-016 , 2.00000e-001 , 5.00000e+002
0.00000e+000 , 2.10000e-001 , 2.77556e-016 , 2.10000e-001 , 5.00000e+002
0.00000e+000 , 2.20000e-001 , 2.77556e-016 , 2.20000e-001 , 5.00000e+002
0.00000e+000 , 2.30000e-001 , 2.77556e-016 , 2.30000e-001 , 5.00000e+002
0.00000e+000 , 2.40000e-001 , 2.77556e-016 , 2.40000e-001 , 5.00000e+002
0.00000e+000 , 2.50000e-001 , 2.77556e-016 , 2.50000e-001 , 5.00000e+002
0.00000e+000 , 2.60000e-001 , 2.77556e-016 , 2.60000e-001 , 5.00000e+002
0.00000e+000 , 2.70000e-001 , 2.77556e-016 , 2.70000e-001 , 5.00000e+002
0.00000e+000 , 2.80000e-001 , 2.77556e-016 , 2.80000e-001 , 5.00000e+002
0.00000e+000 , 2.90000e-001 , 2.77556e-016 , 2.90000e-001 , 5.00000e+002
0.00000e+000 , 3.00000e-001 , 2.77556e-016 , 3.00000e-001 , 5.00000e+002
0.00000e+000 , 3.10000e-001 , 2.73045e-016 , 3.10000e-001 , 5.00000e+002
0.00000e+000 , 3.20000e-001 , 2.68535e-016 , 3.20000e-001 , 5.00000e+002
0.00000e+000 , 3.30000e-001 , 2.64025e-016 , 3.30000e-001 , 5.00000e+002
0.00000e+000 , 3.40000e-001 , 2.59515e-016 , 3.40000e-001 , 5.00000e+002
0.00000e+000 , 3.50000e-001 , 2.55004e-016 , 3.50000e-001 , 5.00000e+002
0.00000e+000 , 3.60000e-001 , 2.50494e-016 , 3.60000e-001 , 5.00000e+002
0.00000e+000 , 3.70000e-001 , 2.45984e-016 , 3.70000e-001 , 5.00000e+002
0.00000e+000 , 3.80000e-001 , 2.41474e-016 , 3.80000e-001 , 5.00000e+002
0.00000e+000 , 3.90000e-001 , 2.36963e-016 , 3.90000e-001 , 5.00000e+002
0.00000e+000 , 4.00000e-001 , 2.32453e-016 , 4.00000e-001 , 5.00000e+002
0.00000e+000 , 4.10000e-001 , 2.27943e-016 , 4.10000e-001 , 5.00000e+002
0.00000e+000 , 4.20000e-001 , 2.23432e-016 , 4.20000e-001 , 5.00000e+002
0.00000e+000 , 4.30000e-001 , 2.18922e-016 , 4.30000e-001 , 5.00000e+002
0.00000e+000 , 4.40000e-001 , 2.14412e-016 , 4.40000e-001 , 5.00000e+002
0.00000e+000 , 4.50000e-001 , 2.09902e-016 , 4.50000e-001 , 5.00000e+002
0.00000e+000 , 4.60000e-001 , 2.05391e-016 , 4.60000e-001 , 5.00000e+002
0.00000e+000 , 4.70000e-001 , 2.00881e-016 , 4.70000e-001 , 5.00000e+002
0.00000e+000 , 4.80000e-001 , 1.96371e-016 , 4.80000e-001 , 5.00000e+002
0.00000e+000 , 4.90000e-001 , 1.91860e-016 , 4.90000e-001 , 5.00000e+002
0.00000e+000 , 5.00000e-001 , 1.87350e-016 , 5.00000e-001 , 5.00000e+002
0.00000e+000 , 5.10000e-001 , 1.82840e-016 , 5.10000e-001 , 5.00000e+002
0.00000e+000 , 5.20000e-001 , 1.78330e-016 , 5.20000e-001 , 5.00000e+002
0.00000e+000 , 5.30000e-001 , 1.73819e-016 , 5.30000e-001 , 5.00000e+002
0.00000e+000 , 5.40000e-001 , 1.69309e-016 , 5.40000e-001 , 5.00000e+002
0.00000e+000 , 5.50000e-001 , 1.64799e-016 , 5.50000e-001 , 5.00000e+002
0.00000e+000 , 5.60000e-001 , 1.60288e-016 , 5.60000e-001 , 5.00000e+002
0.00000e+000 , 5.70000e-001 , 1.55778e-016 , 5.70000e-001 , 5.00000e+002
0.00000e+000 , 5.80000e-001 , 1.51268e-016 , 5.80000e-001 , 5.00000e+002
0.00000e+000 , 5.90000e-001 , 1.46758e-016 , 5.90000e-001 , 5.00000e+002
0.00000e+000 , 6.00000e-001 , 1.42247e-016 , 6.00000e-001 , 5.00000e+002
0.00000e+000 , 6.10000e-001 , 1.37737e-016 , 6.10000e-001 , 5.00000e+002
0.00000e+000 , 6.20000e-001 , 1.33227e-016 , 6.20000e-001 , 5.00000e+002
